Código,Nome,Enderezo,Concello,Provincia,CP,Telefono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
15006420,CPR Pluriling&uuml;e La Salle,R&uacute;a Pardo Bazan s/n,Ferrol,A Coru&ntilde;a,15406,981318111,CPR,43.482475,-8.201057,Privada,Si,Non
15006432,CPR Tirso de Molina,Arce s/n,Ferrol,A Coru&ntilde;a,15401,981352109,CPR,43.482723,-8.238716,Privada,Si,Non
15006456,CPR Pluriling&uuml;e Sagrado Coraz&oacute;n,Estrada de Castilla 160,Ferrol,A Coru&ntilde;a,15404,981371691,CPR,43.49089,-8.216668,Privada,Si,Non
15006481,CPR Pluriling&uuml;e Compa&ntilde;&iacute;a de Mar&iacute;a,R&uacute;a SAN AMARO 18,Ferrol,A Coru&ntilde;a,15403,981322796,CPR,43.484497,-8.229146,Privada,Si,Non
15006501,CPR Pluriling&uuml;e Cristo Rey,"A Coru&ntilde;a, 35 - 37",Ferrol,A Coru&ntilde;a,15401,981353060,CPR,43.484493,-8.236393,Privada,Si,Non
15006511,CPR Pluriling&uuml;e Santa Juana de Lestonnac,R&uacute;a Nai Lestonnac s/n,Ferrol,A Coru&ntilde;a,15406,981311449,CPR,43.485237,-8.205215,Privada,Si,Non
15006547,CPR Pluriling&uuml;e San Rosendo,R&uacute;a Pintor Maximo Ramos 11,Ferrol,A Coru&ntilde;a,15401,981357562,CPR,43.482468,-8.241736,Privada,Si,Non
15006596,CEEPR Nosa Se&ntilde;ora do Chamorro,Lugar Cami&ntilde;o da calzada 16,Nar&oacute;n,A Coru&ntilde;a,15541,981363427,CEEPR,43.560513,-8.2101555,Privada,Si,Non
15006602,CPR Bel&eacute;n,"Praza do Tronco, 1-3",Ferrol,A Coru&ntilde;a,15403,981312176,CPR,43.49002,-8.226131,Privada,Si,Non
15006638,CPR Ludy,R&uacute;a Rio Lambre 6-8,Ferrol,A Coru&ntilde;a,15403,981311813,CPR,43.48943,-8.226855,Privada,Si,Non
