Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
36015032,CEIP de Chans-Bembrive,"Camiño do Lecer, s/n (As Chans)",Vigo,Pontevedra,36313,886111140,CEIP,42.196392,-8.676457,Pública,Non,Si
36015044,EEI Monte do Alba,Camiño da Igrexa 133,Vigo,Pontevedra,36314,886120213,EEI,42.175495,-8.7239275,Pública,Non,Si
36015068,CEIP Balaídos,Rúa Pablo Iglesias 1,Vigo,Pontevedra,36210,886111084,CEIP,42.21107,-8.743864,Pública,Non,Si
36015071,EEI Vagalume,A Lomba,Vilagarcía de Arousa,Pontevedra,36600,886151977,EEI,42.598965,-8.74589,Pública,Non,Si
36015093,CEIP San Tomé,Rúa Olmos 20,Cambados,Pontevedra,36630,886151190,CEIP,42.509716,-8.812661,Pública,Non,Si
36015101,IES da Cañiza,Oroso s/n,A Cañiza,Pontevedra,36880,886110001,IES,42.21592,-8.262925,Pública,Non,Si
36015111,CPI Aurelio Marcelino Rey García,Rúa José Mª Lastra 3,Cuntis,Pontevedra,36670,886151222,CPI,42.63361,-8.559916,Pública,Non,Si
36015135,CEIP A Sangriña,Paseo de Portugal 19,A Guarda,Pontevedra,36789,886110081,CEIP,41.900898,-8.862683,Pública,Non,Si
36015159,IES Chan do Monte,Rúa Chan do Monte 23,Marín,Pontevedra,36911,886151275,IES,42.389416,-8.709744,Pública,Non,Si
36015160,EEI As Dunas Panxón,"Rúa Gondomar, 9 (Gaifar)",Nigrán,Pontevedra,36340,986380120,EEI,42.14351,-8.818143,Pública,Non,Si
36015172,CEIP A Xunqueira Nº 2,Rúa Alexandre Boveda s/n,Pontevedra,Pontevedra,36005,886159073,CEIP,42.436348,-8.637303,Pública,Non,Si
36015184,IES Escolas Proval,Avenida Portugal 171,Nigrán,Pontevedra,36350,886110369,IES,42.1146,-8.7802105,Pública,Non,Si
36015202,CEIP de Lourido,"Camiño da Fernanda, 36 (Lourido)",Poio,Pontevedra,36163,886151458,CEIP,42.427364,-8.677347,Pública,Non,Si
36015214,EEI de San Pedro de Cesantes,Cesantes (San Pedro),Redondela,Pontevedra,36693,886121215,EEI,42.30269,-8.6121235,Pública,Non,Si
36015238,CEIP de Sobrada,Rúa Torrón 52,Tomiño,Pontevedra,36790,886110744,CEIP,42.01937,-8.675435,Pública,Non,Si
36015241,CEP Celso Emilio Ferreiro,Rúa O Porriño s/n,Vigo,Pontevedra,36209,986298058,CEP,42.216496,-8.753061,Pública,Non,Si
36015251,CEIP Plurilingüe Frián-Teis,"Rúa Gonderan, 42 (Frian)",Vigo,Pontevedra,36206,886120161,CEIP,42.241528,-8.695087,Pública,Non,Si
36015263,CEIP Plurilingüe de Rubiáns,Rúa do Ensino 10,Vilagarcía de Arousa,Pontevedra,36619,886151853,CEIP,42.57509,-8.74472,Pública,Non,Si
36015275,CEEPR San Francisco,Avenida DE EUROPA 94,Vigo,Pontevedra,36212,672150928,CEEPR,42.21166,-8.771918,Privada,Si,Non
36015287,CEEPR ASPANAEX,Rúa Mestres Goldar 18,Vigo,Pontevedra,36213,986208395,CEEPR,42.21032,-8.726095,Privada,Si,Non
